year,winner,jockey,trainer,owner,distance,track_condition,time_string,time_sec,triple_crown_winner,Year_winner,Owner,Earnings,Earnings_2022
1955.0,Swaps,Bill Shoemaker,Mesh Tenney,Rex C. Ellsworth,1.25,Fast,02:01.8,121.8,False,,,,
1954.0,Determine,Raymond York,William Molter,Andrew J. Crevolin,1.25,Fast,02:03.0,123.0,False,,,,
1953.0,Dark Star,Henry E. Moreno,Eddie Hayward,Cain Hoy Stable,1.25,Fast,02:02.0,122.0,False,,,,
1952.0,Hill Gail,Eddie Arcaro,Ben A. Jones,Calumet Farm,1.25,Fast,02:01.6,121.6,False,,,,
1951.0,Count Turf,Conn McCreary,Sol Rutchick,Jack J. Amiel,1.25,Fast,02:02.6,122.6,False,,,,
1950.0,Middleground,William Boland,Max Hirsch,King Ranch,1.25,Fast,02:01.6,121.6,False,,,,
1949.0,Ponder,Steve Brooks,Ben A. Jones,Calumet Farm,1.25,Fast,02:04.2,124.2,False,,,,
1948.0,Citation,Eddie Arcaro,Ben A. Jones,Calumet Farm,1.25,Sloppy,02:05.4,125.4,True,,,,
1947.0,Jet Pilot,Eric Guerin,Tom Smith,Maine Chance Farm,1.25,Slow,02:06.8,126.8,False,,,,
1946.0,Assault,Warren Mehrtens,Max Hirsch,King Ranch,1.25,Slow,02:06.6,126.6,True,,,,
1945.0,Hoop Jr.,Eddie Arcaro,Ivan H. Parke,Fred W. Hooper,1.25,Muddy,02:07.0,127.0,False,,,,
1944.0,Pensive,Conn McCreary,Ben A. Jones,Calumet Farm,1.25,Good,02:04.2,124.2,False,,,,
1943.0,Count Fleet,Johnny Longden,Don Cameron,Fannie Hertz,1.25,Fast,02:04.0,124.0,True,,,,
1942.0,Shut Out,Wayne D. Wright,John M. Gaver Sr.,Greentree Stable,1.25,Fast,02:04.4,124.4,False,,,,
1941.0,Whirlaway,Eddie Arcaro,Ben A. Jones,Calumet Farm,1.25,Fast,02:01.4,121.4,True,,,,
1940.0,Gallahadion,Carroll Bierman,Roy Waldron,Milky Way Farm,1.25,Fast,02:05.0,125.0,False,,,,
1939.0,Johnstown,James Stout,Jim Fitzsimmons,Belair Stud,1.25,Fast,02:03.4,123.4,False,,,,
1938.0,Lawrin,Eddie Arcaro,Ben A. Jones,Herbert M. Woolf,1.25,Fast,02:04.8,124.8,False,,,,
1937.0,War Admiral,Charley Kurtsinger,George Conway,Glen Riddle Farm,1.25,Fast,02:03.2,123.2,True,,,,
1936.0,Bold Venture,Ira Hanford,Max Hirsch,Morton L. Schwartz,1.25,Fast,02:03.6,123.6,False,,,,
1935.0,Omaha,Willie Saunders,Jim Fitzsimmons,Belair Stud,1.25,Good,02:05.0,125.0,True,,,,
1934.0,Cavalcade,Mack Garner,Bob Smith,Brookmeade Stable,1.25,Fast,02:04.0,124.0,False,,,,
1933.0,Brokers Tip,Don Meade,Herbert J. Thompson,Edward R. Bradley,1.25,Good,02:06.8,126.8,False,,,,
1932.0,Burgoo King,Eugene James,Herbert J. Thompson,Edward R. Bradley,1.25,Fast,02:05.2,125.2,False,,,,
1931.0,Twenty Grand,Charley Kurtsinger,James G. Rowe Jr.,Greentree Stable,1.25,Fast,02:01.8,121.8,False,,,,
1930.0,Gallant Fox,Earl Sande,Jim Fitzsimmons,Belair Stud,1.25,Good,02:07.6,127.6,True,,,,
1929.0,Clyde Van Dusen,Linus McAtee,Clyde Van Dusen,Herbert P. Gardner,1.25,Muddy,02:10.8,130.8,False,,,,
1928.0,Reigh Count,Chick Lang,Bert S. Michell,Fannie Hertz,1.25,Heavy,02:10.4,130.4,False,,,,
1927.0,Whiskery,Linus McAtee,Fred Hopkins,Harry P. Whitney,1.25,Slow,02:06.0,126.0,False,,,,
1926.0,Bubbling Over,Albert Johnson,Herbert J. Thompson,Edward R. Bradley,1.25,Fast,02:03.8,123.8,False,,,,
1925.0,Flying Ebony,Earl Sande,William B. Duke,Gifford A. Cochran,1.25,Sloppy,02:07.6,127.6,False,,,,
1924.0,Black Gold,J. D. Mooney,Hanley Webb,Rosa M. Hoots,1.25,Fast,02:05.2,125.2,False,,,,
1923.0,Zev,Earl Sande,David J. Leary,Rancocas Stable,1.25,Fast,02:05.4,125.4,False,,,,
1922.0,Morvich,Albert Johnson,Fred Burlew,Benjamin Block,1.25,Fast,02:04.6,124.6,False,,,,
1921.0,Behave Yourself,Charles Thompson,Herbert J. Thompson,Edward R. Bradley,1.25,Fast,02:04.2,124.2,False,,,,
1920.0,Paul Jones,Ted Rice,William M. Garth,Ral Parr,1.25,Slow,02:09.0,129.0,False,,,,
1919.0,Sir Barton,Johnny Loftus,H. Guy Bedwell,J. K. L. Ross,1.25,Heavy,02:09.8,129.8,True,,,,
1918.0,Exterminator,Willie Knapp,Henry McDaniel,Willis Sharpe Kilmer,1.25,Muddy,02:10.8,130.8,False,,,,
