,Year,winner,jockey,trainer,owner,distance,Track Condition,Time,triple_crown_winner,Earnings
86,1936,Bold Venture,Ira Hanford,Max Hirsch,Morton L. Schwartz,1.25,Fast,02:03.6,No,"$68,300 "
87,1935,Omaha,Willie Saunders,Jim Fitzsimmons,Belair Stud,1.25,Good,02:05.0,Yes,"$154,075 "
88,1934,Cavalcade,Mack Garner,Bob Smith,Brookmeade Stable,1.25,Fast,02:04.0,No,"$127,165 "
89,1933,Brokers Tip,Don Meade,Herbert J. Thompson,Edward R. Bradley,1.25,Good,02:06.8,No,"$49,600 "
90,1932,Burgoo King,Eugene James,Herbert J. Thompson,Edward R. Bradley,1.25,Fast,02:05.2,No,"$110,940 "
91,1931,Twenty Grand,Charley Kurtsinger,James G. Rowe Jr.,Greentree Stable,1.25,Fast,02:01.8,No,"$261,790 "
92,1930,Gallant Fox,Earl Sande,Jim Fitzsimmons,Belair Stud,1.25,Good,02:07.6,Yes,"$328,165 "
93,1929,Clyde Van Dusen,Linus McAtee,Clyde Van Dusen,Herbert P. Gardner,1.25,Muddy,02:10.8,No,-
94,1928,Reigh Count,Chick Lang,Bert S. Michell,Fannie Hertz,1.25,Heavy,02:10.4,No,-
95,1927,Whiskery,Linus McAtee,Fred Hopkins,Harry P. Whitney,1.25,Slow,02:06.0,No,-
96,1926,Bubbling Over,Albert Johnson,Herbert J. Thompson,Edward R. Bradley,1.25,Fast,02:03.8,No,-
97,1925,Flying Ebony,Earl Sande,William B. Duke,Gifford A. Cochran,1.25,Sloppy,02:07.6,No,-
98,1924,Black Gold,J. D. Mooney,Hanley Webb,Rosa M. Hoots,1.25,Fast,02:05.2,No,-
99,1923,Zev,Earl Sande,David J. Leary,Rancocas Stable,1.25,Fast,02:05.4,No,-
100,1922,Morvich,Albert Johnson,Fred Burlew,Benjamin Block,1.25,Fast,02:04.6,No,-
101,1921,Behave Yourself,Charles Thompson,Herbert J. Thompson,Edward R. Bradley,1.25,Fast,02:04.2,No,-
102,1920,Paul Jones,Ted Rice,William M. Garth,Ral Parr,1.25,Slow,02:09.0,No,-
103,1919,Sir Barton,Johnny Loftus,H. Guy Bedwell,J. K. L. Ross,1.25,Heavy,02:09.8,Yes,-
